"id","created_at","created_dmy","red","text","type","page_id","audiencia_interaccion","audiencia","comments","likes","reactions","shares","interaccion","ranking","views","user_id","username","name","user_desc","followers","friends","is_reply","is_rt","reply_to_id","location","pais","ciudad","sector","gen","lang","sentiment","sent_personalized","verbs","emojis","concepts","hashtags","mentions","media","link","keywords"
"1560561683659046912","2022-08-19 09:37:53.0","19-08-2022","Twitter","@ElcrackEdi Ford Ecuador 
here I go Ecuador https://t.co/3CzwDV4r5t","Tweet","1446939669103513601","70","70","0","0","0","0","0","4",,"1446939669103513601","ElcrackEdi","༒• 𝔼𝔻𝔻𝕀𝔼 •༒ 💀","👊 👽 🎂 
𝐍𝐀𝐂𝐈 𝐄𝐍 𝐌𝐀𝐑𝐀𝐂𝐀𝐈𝐁🍩  
𝑴𝒊𝒅𝒐 ➀❽➅ 
𝒄𝒂𝒍𝒛𝒐４❺ 
♥ 𝑪𝒊𝒕𝒂𝒔 𝒇𝒂𝒗𝒐𝒓𝒊𝒕𝒂𝒔 ♥
𝑯𝑶𝑻𝑬𝑳 
𝑴𝑶𝑻𝑬𝑳  
𝑴𝑰 𝑪𝑼𝑨𝑹𝑻🍩","686","695","false","true","1548329194962112516","Ecuador 🇪🇨","ECU",,,"M","es","-1",,"herir",,"Ford Ecuador,Ford,Ecuador",,"1446939669103513601","https://pbs.twimg.com/media/FXzD0AiVsAAxK5E.png,https://pbs.twimg.com/media/FXzEgrbUEAEM1DG.png","https://twitter.com/ElcrackEdi/status/1560561683659046912","Ford ecuador"
"1559176909791059970","2022-08-15 13:55:18.0","15-08-2022","Twitter","No compren vehículo con la concesionaria @HyundaiEcuador son una verdadera vergüenza. Desde junio pague el vehículo y m lo entregarían el 15 de Julio y desde esa fecha no han parado las mentiras. Que supuestament por la guerra no pueden traer vehículos @SuperciasEC @superbancosEC","Tweet","137567787","21","21","0","0","0","0","0","2",,"137567787","AzuRosasC","🌸 Azu Rosas 🌸","Dios ♡ familia Me mantiene firme / everything happens for a reason 🍂 / Ing. 🎓","207","435","false","false","-1","Ecuador ","ECU",,,"F","es","-1",,"pagar,entregar,supuestament,traer",,"Vehículo,Julio,Concesionaria,Fecha,Vehículos,Guerra,Junio,Vergüenza,Mentiras",,"919965470672945152,382254928,334299056",,"https://twitter.com/AzuRosasC/status/1559176909791059970","@hyundaiecuador"
"1558107919744385024","2022-08-12 15:07:30.0","12-08-2022","Twitter","@oscar_arrob Atender @Kia @kia_ecuador @HyundaiEcuador @EnCurva https://t.co/5rHqT5DZ2w","Tweet","1548375760259260416","65","65","0","0","0","0","0","4",,"1548375760259260416","taitapanda_ofc","①⑧ TaitaPanda","Seguimos contando cuentas jajaja #toroc #redDeTuiterosSinRed","644","632","false","true","1558106481832218627","PandaLandia",,,,"F","de","1",,,,"Atender",,"2744926787,23689478,449138842,919965470672945152,571787572",,"https://twitter.com/taitapanda_ofc/status/1558107919744385024","@hyundaiecuador"
"588020986350206","2022-09-05 14:31:35.0","05-09-2022","Facebook","Primer Lunes de Septiembre,que tengan un excelente inicio de semana y mes, siempre con una actitud positiva tendremos una vida positiva 💪

#isuzulovers #isuzutrooper #isuzumafia #isuzu #isuzulove #chevroletecuador #chevrolettrooper #chevrolet #motivation #iniciodesemana","Post","100054269300595","18","18","1","5","17","0","18","0",,"100054269300595","aceiteyalcohol","Aceite y Alcohol",,"0","0",,,,,,,,,"es","1",,,"💪","Excelente,Vida,Septiembre,Lunes,Primer,Positiva,Primer Lunes De Septiembre,Inicio,Semana,Actitud,Mes","Chevrolettrooper,Chevrolet,Chevroletecuador,Isuzumafia,Isuzulovers,Isuzutrooper,Isuzu,Iniciodesemana,Isuzulove,Motivation",,,"https://www.facebook.com/588020986350206/status/588020986350206","#chevroletec"
"578718647280440","2022-08-22 13:57:12.0","22-08-2022","Facebook","Que tengan un excelente inicio de semana 🤝
Muchos éxitos en todo lo que hagan 🏆

#rallyecuador #rally #isuzulovers #isuzutrooper #isuzumafia #isuzu #isuzulove #chevroletecuador #chevrolettrooper #chevrolet #imbabura #rally2022","Post","100054269300595","13","13","3","6","10","0","13","0",,"100054269300595","aceiteyalcohol","Aceite y Alcohol",,"0","0",,,,,,,,,"es","1",,,"🤝,🏆","Inicio,Excelente,Éxitos,Semana","Isuzulovers,Chevroletecuador,Rally,Isuzutrooper,Chevrolettrooper,Isuzulove,Imbabura,Rally2022,Isuzu,Isuzumafia,Chevrolet,Rallyecuador",,,"https://www.facebook.com/578718647280440/status/578718647280440","#chevroletec"
"5651694724869522","2022-09-10 14:54:35.0","10-09-2022","Facebook","Photos from AEADE's post | Visite el stand de Renault en #Automundo2022 este sábado 10 de septiembre y domingo 11 de septiembre, a partir de las 9:00. 

Renault Ecuador | ","Post","1044842665554774","1436","1191","0","21","22","3","25","8",,"1044842665554774",,"AEADE",,"11661",,,,,"ECU Quito Atahualpa","ECU","Quito",,,"es","0",,,,"Septiembre,Renault,Aeade,Photos From Aeade,Domingo,Post,9 00 Renault Ecuador,Stand,Photos,Sábado,Visite,Visite El Stand,Ecuador","Automundo2022",,"https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/305109078_5651694994869495_3949519284429737252_n.jpg?stp=dst-jpg_p480x480&_nc_cat=100&ccb=1-7&_nc_sid=110474&_nc_ohc=aZR1BJLCbr8AX9GlYk2&_nc_ht=scontent-atl3-2.xx&edm=AKIiGfEEAAAA&oh=00_AT_vsnGCL9LMNuxa5ZQhihbdIX-NNl2f0bfltUprI_Flig&oe=6321528C","https://www.facebook.com/5651694724869522/status/5651694724869522","Renault ecuador"
"5649526515086343","2022-09-09 19:29:49.0","09-09-2022","Facebook","Visite el stand de Hyundai en #Automundo2022 del 8 al 11 de septiembre de 10:00 a 22:00. 

Hyundai Ecuador | ","Post","1044842665554774","11686","25","1","18","23","1","25","8",,"1044842665554774",,"AEADE",,"11661",,,,,"ECU Quito Atahualpa","ECU","Quito",,,"es","0",,,,"Septiembre,Hyundai Ecuador,Hyundai,Visite,Ecuador,Stand","Automundo2022",,,"https://www.facebook.com/5649526515086343/status/5649526515086343","Hyundai ecuador"
"5649450048427323","2022-09-09 18:49:10.0","09-09-2022","Facebook","Fotos de la publicación de AEADE | Visita el stand de Kia en #Automundo2022 del 8 al 11 de septiembre de 10:00 a 22:00. 

Kia Ecuador | ","Post","1044842665554774","1985","1245","8","51","59","12","79","8",,"1044842665554774",,"AEADE",,"11661",,,,,"ECU Quito Atahualpa","ECU","Quito",,,"es","0",,,,"Fotos,Aeade,Aeade Visita,Ecuador,Kia,Publicación,Visita,Septiembre,Kia Ecuador,Stand","Automundo2022",,"https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/306221847_5649448318427496_2820893246644634958_n.jpg?stp=dst-jpg_p480x480&_nc_cat=107&ccb=1-7&_nc_sid=8024bb&_nc_ohc=1x6pyo5b9jAAX-1SZrs&_nc_ht=scontent-atl3-1.xx&edm=AKIiGfEEAAAA&oh=00_AT_Q4ogCq6mF6Gjrzu_5kh0Ud1CJajjA8eJrzljJ8RHOJw&oe=631FAF0C","https://www.facebook.com/5649450048427323/status/5649450048427323","Kia ecuador"
"1568320554909704195","2022-09-09 19:28:52.0","09-09-2022","Twitter","Visite el stand de Hyundai en #Automundo2022 del 8 al 11 de septiembre de 10:00 a 22:00. 

@HyundaiEcuador https://t.co/kaR2mBVqjV","Tweet","799742342391435265","253","224","0","1","0","2","3","5",,"799742342391435265","AeadeEc","AeadeEc","Representamos a empresas de vehículos y afines. Promovemos el derecho a la movilidad y la libertad de elegir cómo hacerlo.","2193","1256","false","false","-1","Ecuador","ECU",,,"M","es","0",,,,"Septiembre,Stand,Visite,Hyundai","Automundo2022","919965470672945152","https://pbs.twimg.com/media/FcPLI0EWIAEyaHd.jpg","https://twitter.com/AeadeEc/status/1568320554909704195","@hyundaiecuador"
"1562596437275582464","2022-08-25 00:23:16.0","25-08-2022","Twitter","@motorterra El campo de pruebas de #GM en Indaiatuba es el más grande del hemisferio sur del planeta. Aquí es donde se lleva a cabo la etapa final de desarrollo de la #Nueva #Montana, la pick-up de #Chevrolet que llegará al mercado en 2023.

@ChevroletEc 
https://t.co/0A3r609zkj","Tweet","799742342391435265","215","215","0","0","0","0","0","5",,"799742342391435265","AeadeEc","AeadeEc","Representamos a empresas de vehículos y afines. Promovemos el derecho a la movilidad y la libertad de elegir cómo hacerlo.","2132","1256","false","true","1562530181016846336","Ecuador","ECU",,,"M","es","1",,"llegar",,"Campo,Indaiatuba,Etapa,Pick,Sur,Pruebas,2023,Mercado,Planeta,Desarrollo,Cabo,Aquí,Hemisferio,Grande","Gm,Nueva,Montana,Chevrolet","1115737879085338624",,"https://twitter.com/AeadeEc/status/1562596437275582464","@chevroletec"
